label,message
spam,Get paid easily online!
ham,I will pick you up.
spam,Hurry up! Congratulations! Claim your reward.
ham,Call me when free.
ham,Thanks for your help.
spam,Earn money from home!!!!
ham,Are you coming to the party?
spam,Limited time offer! Buy now!!!!
spam,Hurry up! Congratulations! Claim your reward.
spam,Win cash prizes today!!!!
ham,Thanks for your help.
spam,Winner! Claim your gift card.
ham,Dinner at 7?
spam,Hurry up! You won a lottery! Reply to claim.
spam,Hurry up! Free coupons waiting!
ham,Reminder: Please review the document.
ham,Meeting postponed to 3 PM. 😊
spam,You have been selected to win $1000.
ham,Can you call me back?
spam,Free vacation! Call immediately.
spam,Hurry up! Win a free iPhone! Click now!
spam,Exclusive deal just for you.
spam,Claim your free gift card today!
ham,Reminder: I will be late today.
spam,Free coupons waiting!
spam,Claim your free gift card today!
ham,Reminder: Let's catch up tomorrow.
ham,Did you finish the report?
ham,Meeting postponed to 3 PM. 😊
ham,Please review the document. 😊
ham,Thanks for your help.
spam,Hurry up! Winner! Claim your gift card.
spam,Win cash prizes today!!!!
spam,Congratulations! Claim your reward.!!!
spam,Congratulations! You won a prize.!!!
spam,Win cash prizes today!
ham,Reminder: Please review the document.
spam,You have been selected to win $1000.
spam,Special promotion for you.
spam,Urgent! Your account is at risk.!!!
ham,Are we meeting today?
spam,Get paid easily online!
ham,I will be late today.
ham,Thanks for your help.
spam,Claim your free gift card today!
ham,"Hi, how are you?"
spam,Special promotion for you.!!!
ham,What time is the movie? 😊
spam,You have been selected to win $1000.
ham,Are we meeting today?
ham,Reminder: Lunch at noon?
ham,Dinner at 7?
ham,Did you finish the report? 😊
ham,I will pick you up.
ham,Did you finish the report?
spam,Urgent! Your account is at risk.!!!
spam,Limited time offer! Buy now!
spam,Earn money from home!!!!
ham,Please review the document.
spam,Win a free iPhone! Click now!!!!
ham,Good morning! 😊
ham,Did you finish the report?
spam,Earn money from home!
ham,Lunch at noon?
ham,Reminder: Good morning!
spam,Hurry up! Win a free iPhone! Click now!
ham,Lunch at noon?
spam,Hurry up! Limited offer! Don't miss out.
ham,Lunch at noon?
ham,Reminder: Good morning!
spam,You have been selected to win $1000.!!!
ham,See you soon. 😊
spam,Hurry up! Limited time offer! Buy now!
ham,Did you finish the report? 😊
ham,Can you call me back?
ham,Can you call me back?
ham,Don't forget the assignment.
ham,Call me when free. 😊
spam,Free coupons waiting!!!!
spam,Congratulations! You won a prize.!!!
spam,Get paid easily online!
spam,Limited time offer! Buy now!!!!
spam,Congratulations! Claim your reward.
spam,You have been selected to win $1000.
ham,Can you call me back? 😊
ham,Let's catch up tomorrow.
ham,Dinner at 7? 😊
ham,Don't forget the assignment. 😊
ham,I will be late today.
ham,Dinner at 7?
spam,Hurry up! Limited time offer! Buy now!
ham,Lunch at noon? 😊
spam,You won a lottery! Reply to claim.!!!
ham,Good morning!
ham,Can you call me back?
ham,Did you finish the report?
ham,Good morning! 😊
spam,Hurry up! Winner! Claim your gift card.
ham,Thanks for your help.
ham,Are we meeting today?
spam,Winner! Claim your gift card.
ham,Can you send the files?
ham,Did you finish the report?
ham,Good morning!
ham,Can you send the files?
spam,Limited offer! Don't miss out.!!!
ham,Reminder: Are you coming to the party?
spam,Hurry up! Act now to get a free gift.
spam,Hurry up! Special promotion for you.
ham,Can you send the files?
spam,Hurry up! Congratulations! You won a prize.
ham,Good morning! 😊
ham,Happy birthday!
spam,Win a free iPhone! Click now!
ham,Reminder: Lunch at noon?
spam,Special promotion for you.!!!
spam,Limited time offer! Buy now!!!!
spam,Win cash prizes today!
ham,I will pick you up. 😊
spam,Hurry up! Get cheap loans now!
spam,Limited time offer! Buy now!
ham,Please review the document.
spam,Limited time offer! Buy now!!!!
ham,See you soon.
spam,Act now to get a free gift.!!!
ham,Don't forget the assignment. 😊
spam,Special promotion for you.
spam,Free vacation! Call immediately.
spam,Win a free iPhone! Click now!!!!
ham,Reminder: What time is the movie?
ham,Happy birthday!
spam,Your loan is approved! Call now.
ham,See you soon.
spam,Limited offer! Don't miss out.
ham,Reminder: Lunch at noon?
spam,Free vacation! Call immediately.!!!
ham,Thanks for your help.
ham,"Hi, how are you?"
spam,Limited offer! Don't miss out.
ham,What time is the movie?
spam,Exclusive deal just for you.!!!
spam,Hurry up! Win a free iPhone! Click now!
spam,Congratulations! You won a prize.
ham,Call me when free.
ham,Meeting postponed to 3 PM. 😊
spam,Free coupons waiting!
spam,Hurry up! Act now to get a free gift.
spam,Congratulations! You won a prize.
spam,Claim your free gift card today!!!!
spam,Winner! Claim your gift card.
spam,Win a free iPhone! Click now!!!!
spam,Win cash prizes today!
spam,You won a lottery! Reply to claim.!!!
ham,See you soon.
spam,Hurry up! Get paid easily online!
ham,Can you send the files? 😊
spam,Hurry up! Your loan is approved! Call now.
ham,Call me when free.
ham,Reminder: Dinner at 7?
spam,Earn money from home!!!!
spam,Win cash prizes today!
spam,Get cheap loans now!
spam,Special promotion for you.
ham,Reminder: Let's catch up tomorrow.
ham,Reminder: Dinner at 7?
ham,Good morning! 😊
ham,See you soon. 😊
ham,Reminder: Are you coming to the party?
ham,"Hi, how are you?"
ham,See you soon.
ham,Don't forget the assignment.
ham,Let's catch up tomorrow.
ham,Thanks for your help. 😊
ham,Lunch at noon?
spam,Exclusive deal just for you.!!!
ham,Don't forget the assignment.
spam,Win a free iPhone! Click now!
spam,Hurry up! Claim your free gift card today!
ham,Reminder: See you soon.
spam,Exclusive deal just for you.
spam,Win cash prizes today!!!!
spam,Congratulations! You won a prize.!!!
spam,Claim your free gift card today!!!!
spam,Exclusive deal just for you.
spam,Get paid easily online!
spam,Congratulations! Claim your reward.!!!
ham,Are you coming to the party? 😊
spam,Congratulations! You won a prize.
ham,Are you coming to the party?
spam,Winner! Claim your gift card.
spam,Claim your free gift card today!
ham,"Hi, how are you?"
spam,Get paid easily online!
ham,Please review the document.
spam,You won a lottery! Reply to claim.!!!
ham,Please review the document.
spam,Winner! Claim your gift card.
spam,Urgent! Your account is at risk.
spam,Hurry up! Win a free iPhone! Click now!
ham,Dinner at 7? 😊
ham,Did you finish the report?
ham,What time is the movie?
ham,Don't forget the assignment.
spam,Limited time offer! Buy now!!!!
ham,"Hi, how are you?"
spam,Hurry up! Exclusive deal just for you.
ham,I will pick you up.
ham,"Hi, how are you? 😊"
spam,Special promotion for you.!!!
spam,Limited time offer! Buy now!
ham,Thanks for your help.
ham,Meeting postponed to 3 PM.
ham,Dinner at 7?
spam,Get paid easily online!
spam,Limited offer! Don't miss out.!!!
ham,Did you finish the report?
ham,See you soon.
ham,Call me when free.
spam,Get paid easily online!
spam,Special promotion for you.!!!
ham,Are we meeting today? 😊
ham,Don't forget the assignment.
ham,Please review the document. 😊
spam,Claim your free gift card today!!!!
spam,Get cheap loans now!!!!
ham,Meeting postponed to 3 PM.
ham,Reminder: Are you coming to the party?
ham,Can you call me back?
spam,You have been selected to win $1000.
ham,Dinner at 7?
ham,Reminder: What time is the movie?
spam,Free vacation! Call immediately.!!!
ham,What time is the movie?
ham,Dinner at 7? 😊
spam,Congratulations! You won a prize.!!!
ham,Happy birthday!
ham,Reminder: Lunch at noon?
spam,Win cash prizes today!!!!
spam,Hurry up! Free coupons waiting!
ham,Let's catch up tomorrow.
spam,Free coupons waiting!!!!
spam,Get cheap loans now!
ham,Can you call me back? 😊
spam,You won a lottery! Reply to claim.
ham,Are we meeting today?
spam,Limited time offer! Buy now!!!!
ham,Happy birthday! 😊
spam,You have been selected to win $1000.!!!
spam,Act now to get a free gift.
ham,Are you coming to the party?
ham,Reminder: See you soon.
spam,Earn money from home!
spam,Hurry up! Congratulations! Claim your reward.
ham,Can you send the files?
spam,Get paid easily online!
spam,Hurry up! Free vacation! Call immediately.
ham,Don't forget the assignment. 😊
ham,Please review the document.
spam,Hurry up! Exclusive deal just for you.
spam,Earn money from home!
spam,Limited offer! Don't miss out.!!!
ham,Are we meeting today?
ham,Reminder: See you soon.
ham,Good morning!
ham,Good morning!
ham,Reminder: Dinner at 7?
spam,Exclusive deal just for you.
ham,Good morning!
ham,What time is the movie?
spam,Hurry up! Free coupons waiting!
spam,Free coupons waiting!
ham,Can you call me back?
spam,You won a lottery! Reply to claim.!!!
ham,Can you call me back?
ham,Lunch at noon?
spam,Act now to get a free gift.!!!
ham,Reminder: What time is the movie?
spam,Act now to get a free gift.
ham,Let's catch up tomorrow.
ham,Reminder: Meeting postponed to 3 PM.
spam,Win cash prizes today!!!!
ham,Are we meeting today? 😊
spam,Urgent! Your account is at risk.
spam,Get paid easily online!!!!
ham,Reminder: Dinner at 7?
ham,Reminder: Don't forget the assignment.
spam,You have been selected to win $1000.
ham,Did you finish the report? 😊
ham,Let's catch up tomorrow. 😊
ham,Reminder: Can you send the files?
